Node_ID,Roster_Code,School_Code,Class_Code,Label_Available,Q1_Gender,Q2_Age,Q3_Form,Q4_SchoolType,Q5_Programme,Q6_Residence,Q7_ParentEdu,Q8_FinDifficulty,Q10_MathsScore,Q11_EnglishScore,Q12_CAScore,Q13_AssignRate,Q14_Repeated,Q15_DaysAttend,Q16_DaysMissed,Q17_Lateness,Q18_Belonging,Q19_EnjoyLearn,Q20_StudyOwnWill,Q21_CanPass,Q22_SetGoals,Q23_Confident,Q24_PlanContinue,Q25_TeachersCare,Q26_HasSupport,Q27_StudyHours,Q28_QuietPlace,Q29_OutsideWork,Q31_StudyFreq,Q32_TurnToFirst,Q33_StudyGroup,Q34_ExamConfidence,Q35_Interest,TARGET_AtRisk
SCH-BPRESEC_2VISUAL_003,003,SCH-BPRESEC,2VISUAL,1,Male,18,Form 2,Public,Visual Arts,Boarding,Unknown,Never a problem,55,61,64,6-8 out of 10,No,5,0,Sometimes,Not sure,5,5,5,4,3,4,4,4,6-8 hrs/wk,Sometimes,None,Rarely,A classmate,No,Not sure,Somewhat interested,0
SCH-BPRESEC_2VISUAL_004,004,SCH-BPRESEC,2VISUAL,1,Male,16,Form 2,Public,Visual Arts,Day,JHS,Usually not a problem,30,45,39,6-8 out of 10,No,5,7,Never,Strongly not belong,5,5,4,5,4,5,5,4,3-5 hrs/wk,Sometimes,Paid work,A few times/wk,A classmate,Sometimes informal,Very confident,Very interested,1
SCH-BPRESEC_2VISUAL_005,005,SCH-BPRESEC,2VISUAL,1,Male,18,Form 2,Public,Visual Arts,Day,Primary,Very difficult,24,47,44,6-8 out of 10,No,4,10,Sometimes,Mostly not belong,4,4,5,5,4,5,2,2,0-2 hrs/wk,Sometimes,Farming/trading,A few times/wk,A classmate,Sometimes informal,Fairly confident,Somewhat interested,1
SCH-BPRESEC_2VISUAL_006,006,SCH-BPRESEC,2VISUAL,1,Male,17,Form 2,Public,Visual Arts,Boarding,JHS,Usually not a problem,11,22,20,6-8 out of 10,No,5,3,Never,5,5,4,4,4,4,4,4,4,3-5 hrs/wk,Sometimes,Paid work,A few times/wk,A teacher,Regular group,Not sure,Not at all,1
SCH-BPRESEC_2VISUAL_007,007,SCH-BPRESEC,2VISUAL,1,Male,17,Form 2,Public,Visual Arts,Boarding,Tertiary,Sometimes difficult,20,38,38,3-5 out of 10,No,5,4,Sometimes,Not sure,4,2,5,,4,4,4,4,3-5 hrs/wk,Sometimes,Paid work,A few times/wk,A classmate,Sometimes informal,Very confident,Very interested,1
SCH-BPRESEC_2VISUAL_008,008,SCH-BPRESEC,2VISUAL,1,Male,18,Form 2,Public,Visual Arts,Day,JHS,Usually not a problem,72,64,80,9-10 out of 10,No,5,0,Never,Mostly belong,4,4,4,4,4,4,5,5,3-5 hrs/wk,Sometimes,Heavy housework,A few times/wk,A classmate,Sometimes informal,Fairly confident,Very interested,0
SCH-BPRESEC_2VISUAL_009,009,SCH-BPRESEC,2VISUAL,1,Female,16,Form 2,Public,Visual Arts,Boarding,SHS,Sometimes difficult,52,58,60,6-8 out of 10,No,5,0,Sometimes,Strongly belong,5,4,5,4,5,5,5,4,3-5 hrs/wk,Sometimes,Paid work,Almost every day,A teacher,Regular group,Very confident,Very interested,0
SCH-BPRESEC_2VISUAL_010,010,SCH-BPRESEC,2VISUAL,1,Male,16,Form 2,Public,Visual Arts,Day,Tertiary,Sometimes difficult,11,32,37,6-8 out of 10,No,5,3,Sometimes,Not sure,5,4,5,4,5,5,3,5,3-5 hrs/wk,Sometimes,Paid work,About once/wk,A classmate,No,Very confident,Somewhat interested,1
SCH-BPRESEC_2VISUAL_011,011,SCH-BPRESEC,2VISUAL,1,Male,22,Form 2,Public,Visual Arts,Day,No formal education,Usually not a problem,16,16,15,6-8 out of 10,Yes,4,14,Often,Not sure,4,5,4,4,4,4,5,5,3-5 hrs/wk,Sometimes,Paid work,About once/wk,A classmate,Regular group,Very confident,Somewhat interested,1
SCH-BPRESEC_2VISUAL_012,012,SCH-BPRESEC,2VISUAL,1,Female,18,Form 2,Public,Visual Arts,Day,SHS,Very difficult,31,40,45,9-10 out of 10,No,5,0,Never,Mostly not belong,5,5,5,5,4,5,3,3,0-2 hrs/wk,Sometimes,Heavy housework,Almost every day,Manage alone,Sometimes informal,Worried,Somewhat interested,1
SCH-BPRESEC_2VISUAL_013,013,SCH-BPRESEC,2VISUAL,1,Female,17,Form 2,Public,Visual Arts,Boarding,SHS,Sometimes difficult,33,44,60.3,6-8 out of 10,No,5,1,Sometimes,Mostly not belong,5,5,4,5,5,5,4,4,3-5 hrs/wk,Sometimes,Paid work,Almost every day,A classmate,Sometimes informal,Very confident,Very interested,0
SCH-BPRESEC_2VISUAL_014,014,SCH-BPRESEC,2VISUAL,0,Male,17,Form 2,Public,Visual Arts,Boarding,JHS,Sometimes difficult,32,26,48,6-8 out of 10,No,4,3,Sometimes,Mostly belong,5,4,5,4,5,4,4,5,0-2 hrs/wk,Sometimes,Heavy housework,A few times/wk,A classmate,Regular group,Fairly confident,Very interested,
SCH-BPRESEC_2VISUAL_015,015,SCH-BPRESEC,2VISUAL,1,Male,16,Form 2,Public,Visual Arts,Day,JHS,Never a problem,44,42,47,9-10 out of 10,No,5,4,Never,Strongly belong,4,4,4,4,4,4,4,5,0-2 hrs/wk,Always,Heavy housework,Almost every day,A classmate,Regular group,Very confident,Very interested,1
SCH-BPRESEC_2VISUAL_016,016,SCH-BPRESEC,2VISUAL,1,Female,17,Form 2,Public,Visual Arts,Day,Primary,Sometimes difficult,53,73,72,9-10 out of 10,No,5,8,Sometimes,Mostly belong,4,4,5,5,4,5,3,5,0-2 hrs/wk,Sometimes,None,A few times/wk,Manage alone,No,Fairly confident,Very interested,0
SCH-BPRESEC_2VISUAL_017,017,SCH-BPRESEC,2VISUAL,1,Female,16,Form 2,Public,Visual Arts,Day,SHS,Sometimes difficult,34,65,62,6-8 out of 10,No,5,4,Sometimes,Mostly belong,5,5,5,5,5,5,3,5,0-2 hrs/wk,Sometimes,Heavy housework,A few times/wk,A classmate,Regular group,Fairly confident,Somewhat interested,0
SCH-BPRESEC_2VISUAL_018,018,SCH-BPRESEC,2VISUAL,1,Male,16,Form 2,Public,Visual Arts,Boarding,Tertiary,Sometimes difficult,54,50,53,6-8 out of 10,No,5,3,Sometimes,Strongly belong,5,5,5,5,5,5,5,5,3-5 hrs/wk,Always,None,Almost every day,A classmate,Regular group,Very confident,Somewhat interested,0
SCH-BPRESEC_2VISUAL_019,019,SCH-BPRESEC,2VISUAL,1,Male,16,Form 2,Public,Visual Arts,Boarding,Tertiary,Sometimes difficult,58,64,83,9-10 out of 10,No,5,0,Never,Mostly belong,5,5,5,5,4,5,3,4,0-2 hrs/wk,Sometimes,None,A few times/wk,A classmate,Sometimes informal,Fairly confident,Very interested,0
SCH-BPRESEC_2VISUAL_020,020,SCH-BPRESEC,2VISUAL,1,Male,17,Form 2,Public,Visual Arts,Day,Tertiary,Sometimes difficult,59,64,67,9-10 out of 10,No,5,5,Never,Strongly belong,5,5,5,5,4,5,4,5,0-2 hrs/wk,Always,None,A few times/wk,A classmate,Regular group,Fairly confident,Very interested,0
SCH-BPRESEC_2VISUAL_021,021,SCH-BPRESEC,2VISUAL,1,Female,16,Form 2,Public,Visual Arts,Boarding,Tertiary,Sometimes difficult,40,53,55,9-10 out of 10,No,5,0,Never,Mostly belong,5,5,5,5,4,5,5,5,0-2 hrs/wk,Sometimes,Paid work,A few times/wk,A classmate,Regular group,Very confident,Somewhat interested,0
SCH-BPRESEC_2VISUAL_022,022,SCH-BPRESEC,2VISUAL,1,Male,16,Form 2,Public,Visual Arts,Boarding,JHS,Sometimes difficult,45,53,57.2,9-10 out of 10,No,5,0,Never,Mostly belong,5,5,5,5,4,5,4,3,0-2 hrs/wk,Always,Paid work,A few times/wk,A classmate,Regular group,Very confident,Very interested,0
SCH-BPRESEC_2VISUAL_023,023,SCH-BPRESEC,2VISUAL,1,Male,17,Form 2,Public,Visual Arts,Day,SHS,Usually not a problem,53,67,70,9-10 out of 10,No,5,3,Often,Not sure,5,4,4,4,4,5,5,4,0-2 hrs/wk,Always,Heavy housework,A few times/wk,Manage alone,No,Very confident,Very interested,0
SCH-BPRESEC_2VISUAL_024,024,SCH-BPRESEC,2VISUAL,1,Female,17,Form 2,Public,Visual Arts,Boarding,Tertiary,Sometimes difficult,47,61,68,9-10 out of 10,No,5,7,Sometimes,Strongly belong,5,5,5,5,5,5,5,5,0-2 hrs/wk,Always,Heavy housework,A few times/wk,A classmate,Regular group,Very confident,Very interested,0
SCH-BPRESEC_2VISUAL_025,025,SCH-BPRESEC,2VISUAL,1,Male,18,Form 2,Public,Visual Arts,Day,SHS,Sometimes difficult,76,73,78,9-10 out of 10,No,5,0,Never,Strongly belong,5,5,5,5,5,5,5,5,0-2 hrs/wk,Always,Heavy housework,A few times/wk,A classmate,Regular group,Very confident,Very interested,0
SCH-BPRESEC_2VISUAL_026,026,SCH-BPRESEC,2VISUAL,1,Male,16,Form 2,Public,Visual Arts,Boarding,SHS,Sometimes difficult,54,76,77,6-8 out of 10,No,5,0,Never,Mostly not belong,5,5,4,4,3,4,5,5,0-2 hrs/wk,Sometimes,None,A few times/wk,A classmate,Sometimes informal,Worried,Very interested,0
SCH-BPRESEC_2VISUAL_027,027,SCH-BPRESEC,2VISUAL,1,Male,18,Form 2,Public,Visual Arts,Boarding,Tertiary,Sometimes difficult,50,57,58,6-8 out of 10,No,4,15,Sometimes,Mostly not belong,5,5,5,5,4,4,5,5,0-2 hrs/wk,Always,Paid work,A few times/wk,A teacher,No,Very confident,Very interested,0
SCH-BPRESEC_2VISUAL_028,028,SCH-BPRESEC,2VISUAL,1,Male,16,Form 2,Public,Visual Arts,Boarding,Unknown,Very difficult,47,35,41,6-8 out of 10,No,5,0,Sometimes,Mostly belong,5,5,5,4,5,5,5,5,0-2 hrs/wk,Sometimes,Paid work,Rarely,A classmate,Sometimes informal,Very confident,Somewhat interested,1
SCH-BPRESEC_2VISUAL_029,029,SCH-BPRESEC,2VISUAL,1,Female,17,Form 2,Public,Visual Arts,Boarding,Unknown,Sometimes difficult,61,54,70,6-8 out of 10,No,5,0,Never,Not sure,5,5,5,5,3,5,5,3,8+ hrs/wk,Always,Heavy housework,A few times/wk,Manage alone,Sometimes informal,Fairly confident,Very interested,0
SCH-BPRESEC_2VISUAL_030,030,SCH-BPRESEC,2VISUAL,1,Female,18,Form 2,Public,Visual Arts,Day,No formal education,Never a problem,70,68,71,6-8 out of 10,No,5,2,Sometimes,Strongly belong,5,4,5,4,2,5,2,5,0-2 hrs/wk,Sometimes,Farming/trading,Almost every day,A classmate,Sometimes informal,Not sure,Somewhat interested,0
SCH-BPRESEC_2VISUAL_031,031,SCH-BPRESEC,2VISUAL,1,Female,17,Form 2,Public,Visual Arts,Day,SHS,Sometimes difficult,23,45,44,9-10 out of 10,No,5,2,Sometimes,Strongly belong,5,5,5,5,4,5,4,5,0-2 hrs/wk,Sometimes,Heavy housework,Almost every day,A classmate,Sometimes informal,Very confident,Very interested,1
SCH-BPRESEC_2VISUAL_032,032,SCH-BPRESEC,2VISUAL,1,Male,17,Form 2,Public,Visual Arts,Day,SHS,Sometimes difficult,15,30,38.4,6-8 out of 10,No,4,14,Sometimes,Strongly belong,5,5,5,5,5,5,5,5,0-2 hrs/wk,Sometimes,Heavy housework,A few times/wk,A classmate,Sometimes informal,Very confident,Very interested,1
SCH-BPRESEC_2VISUAL_033,033,SCH-BPRESEC,2VISUAL,1,Male,16,Form 2,Public,Visual Arts,Boarding,Tertiary,Sometimes difficult,43,40,49,6-8 out of 10,No,5,5,Never,Mostly belong,4,4,5,5,4,4,4,4,3-5 hrs/wk,Sometimes,Paid work,A few times/wk,A classmate,Sometimes informal,Not sure,Somewhat interested,1
SCH-BPRESEC_2VISUAL_034,034,SCH-BPRESEC,2VISUAL,1,Male,17,Form 2,Public,Visual Arts,Boarding,SHS,Very difficult,25,48,43.2,6-8 out of 10,No,5,0,Sometimes,Not sure,4,4,5,4,3,5,2,4,6-8 hrs/wk,Rarely/Never,None,Rarely,A classmate,No,Worried,Not very,1
SCH-BPRESEC_2VISUAL_035,035,SCH-BPRESEC,2VISUAL,1,Female,18,Form 2,Public,Visual Arts,Day,Tertiary,Sometimes difficult,68,72,74,6-8 out of 10,No,5,0,Never,Strongly belong,5,5,4,4,4,4,5,5,6-8 hrs/wk,Always,Paid work,Almost every day,Manage alone,No,Fairly confident,Somewhat interested,0
SCH-BPRESEC_2VISUAL_036,036,SCH-BPRESEC,2VISUAL,1,Male,18,Form 2,Public,Visual Arts,Boarding,Tertiary,Usually not a problem,63,52,53.1,9-10 out of 10,No,5,7,Sometimes,Mostly not belong,4,4,4,4,5,4,5,2,3-5 hrs/wk,Sometimes,Paid work,About once/wk,A classmate,Sometimes informal,Fairly confident,Somewhat interested,0
SCH-BPRESEC_2VISUAL_037,037,SCH-BPRESEC,2VISUAL,1,Female,16,Form 2,Public,Visual Arts,Boarding,No formal education,Very difficult,62,48,56,6-8 out of 10,No,5,2,Never,Mostly not belong,5,5,5,4,5,5,4,5,8+ hrs/wk,Always,None,A few times/wk,Manage alone,Regular group,Very confident,Very interested,0
SCH-BPRESEC_2VISUAL_038,038,SCH-BPRESEC,2VISUAL,1,Male,17,Form 2,Public,Visual Arts,Boarding,No formal education,Very difficult,61,56,70,9-10 out of 10,No,5,0,Never,Strongly belong,5,5,5,5,5,5,5,5,8+ hrs/wk,Always,Heavy housework,About once/wk,A classmate,Sometimes informal,Very confident,Very interested,0
SCH-BPRESEC_2VISUAL_039,039,SCH-BPRESEC,2VISUAL,1,Male,18,Form 2,Public,Visual Arts,Day,Primary,Never a problem,38,48,44,9-10 out of 10,No,5,4,Sometimes,Not sure,5,5,4,4,5,5,4,4,6-8 hrs/wk,Sometimes,Farming/trading,About once/wk,A classmate,Regular group,Worried,Somewhat interested,1
SCH-BPRESEC_2VISUAL_040,040,SCH-BPRESEC,2VISUAL,1,Male,17,Form 2,Public,Visual Arts,Day,Tertiary,Sometimes difficult,70,64,75,6-8 out of 10,No,4,15,Sometimes,Mostly not belong,3,3,3,4,3,3,3,3,0-2 hrs/wk,Rarely/Never,None,About once/wk,A family member,Regular group,Very confident,Somewhat interested,0
SCH-BPRESEC_1ARTS1_001,001,SCH-BPRESEC,1ARTS1,1,Female,16,Form 1,Public,General Arts,Boarding,Primary,Usually not a problem,40,35,47,6-8 out of 10,No,5,4,Sometimes,Mostly not belong,5,5,5,5,4,5,4,4,6-8 hrs/wk,Always,None,About once/wk,A classmate,Regular group,Fairly confident,Very interested,1
SCH-BPRESEC_1ARTS1_002,002,SCH-BPRESEC,1ARTS1,1,Female,16,Form 1,Public,General Arts,Boarding,Tertiary,Usually not a problem,46,52,57,6-8 out of 10,No,5,1,Sometimes,Mostly not belong,2,2,2,2,3,2,1,2,3-5 hrs/wk,Rarely/Never,None,Rarely,A classmate,Sometimes informal,Fairly confident,Not very,0
SCH-BPRESEC_1ARTS_003,003,SCH-BPRESEC,1ARTS,1,Male,17,Form 1,Public,General Arts,Boarding,No formal education,Very difficult,19,32,29,9-10 out of 10,No,5,0,Never,Mostly not belong,4,4,5,5,5,5,5,5,6-8 hrs/wk,Always,Heavy housework,Almost every day,A classmate,Sometimes informal,Worried,Not at all,1
SCH-BPRESEC_1ARTS1_004,004,SCH-BPRESEC,1ARTS1,1,Male,16,Form 1,Public,General Arts,Day,No formal education,Usually not a problem,30,27,41,6-8 out of 10,No,5,4,Never,Strongly not belong,4,4,4,4,4,4,4,4,6-8 hrs/wk,Sometimes,Paid work,A few times/wk,A classmate,Sometimes informal,Very confident,Not very,1
SCH-BPRESEC_1ARTS1_005,005,SCH-BPRESEC,1ARTS1,1,Female,17,Form 1,Public,General Arts,Day,Tertiary,Never a problem,28,19,29,6-8 out of 10,No,4,14,Sometimes,Mostly not belong,5,5,5,5,5,5,5,4,0-2 hrs/wk,Sometimes,Heavy housework,Rarely,A classmate,No,Worried,Not very,1
SCH-BPRESEC_1ARTS_006,006,SCH-BPRESEC,1ARTS,1,Male,15,Form 1,Public,General Arts,Boarding,Tertiary,Very difficult,54,69,68,9-10 out of 10,No,5,0,Never,Strongly belong,5,5,4,4,5,5,4,4,6-8 hrs/wk,Always,None,A few times/wk,A classmate,Sometimes informal,Very confident,Somewhat interested,0
SCH-BPRESEC_1ARTS1_007,007,SCH-BPRESEC,1ARTS1,1,Male,16,Form 1,Public,General Arts,Boarding,Tertiary,Sometimes difficult,84,80,91,9-10 out of 10,No,5,0,Never,Strongly belong,5,5,5,4,5,5,5,5,8+ hrs/wk,Always,None,A few times/wk,A classmate,Sometimes informal,Very confident,Somewhat interested,0
SCH-BPRESEC_1ARTS1_008,008,SCH-BPRESEC,1ARTS1,1,Female,16,Form 1,Public,General Arts,Boarding,SHS,Sometimes difficult,87,77,80.7,9-10 out of 10,No,5,2,Never,Strongly belong,4,5,4,5,4,5,4,5,8+ hrs/wk,Always,Paid work,Almost every day,A classmate,No,Fairly confident,Somewhat interested,0
SCH-BPRESEC_1ARTS_009,009,SCH-BPRESEC,1ARTS,1,Male,16,Form 1,Public,General Arts,Boarding,JHS,Sometimes difficult,75,60,65,9-10 out of 10,No,5,0,Never,Strongly belong,5,5,5,5,4,4,4,4,6-8 hrs/wk,Sometimes,None,A few times/wk,A classmate,Regular group,Very confident,Very interested,0
SCH-BPRESEC_1ARTS1_010,010,SCH-BPRESEC,1ARTS1,1,Female,16,Form 1,Public,General Arts,Boarding,Unknown,Usually not a problem,94,90,91.4,9-10 out of 10,No,5,4,Never,Mostly belong,5,5,5,5,5,4,4,5,8+ hrs/wk,Always,None,A few times/wk,A classmate,No,Very confident,Very interested,0
SCH-BPRESEC_1ARTS1_011,011,SCH-BPRESEC,1ARTS1,1,Male,15,Form 1,Public,General Arts,Boarding,Unknown,Usually not a problem,70,72,76.4,9-10 out of 10,No,5,2,Sometimes,Strongly belong,5,5,4,4,4,4,4,4,6-8 hrs/wk,Sometimes,None,A few times/wk,A classmate,Sometimes informal,Fairly confident,Somewhat interested,0
SCH-BPRESEC_1ARTS_012,012,SCH-BPRESEC,1ARTS,1,Male,17,Form 1,Public,General Arts,Day,Tertiary,Sometimes difficult,60,68,32.4,6-8 out of 10,No,4,14,Sometimes,Not sure,5,5,5,5,5,4,3,4,6-8 hrs/wk,Sometimes,None,About once/wk,Manage alone,Sometimes informal,Fairly confident,Somewhat interested,0
SCH-BPRESEC_1ARTS1_013,013,SCH-BPRESEC,1ARTS1,1,Male,16,Form 1,Public,General Arts,Day,JHS,Never a problem,74,70,78.4,9-10 out of 10,No,5,0,Never,Mostly belong,4,4,5,5,4,4,4,5,8+ hrs/wk,Always,Farming/trading,Rarely,A classmate,Sometimes informal,Fairly confident,Somewhat interested,0
SCH-BPRESEC_1ARTS1_014,014,SCH-BPRESEC,1ARTS1,1,Male,16,Form 1,Public,General Arts,Boarding,JHS,Very difficult,67,62,69.7,6-8 out of 10,No,4,13,Sometimes,Strongly belong,5,5,5,5,3,4,4,4,3-5 hrs/wk,Always,Heavy housework,A few times/wk,A classmate,Regular group,Very confident,Somewhat interested,0
SCH-BPRESEC_1ARTS_015,015,SCH-BPRESEC,1ARTS,1,Male,17,Form 1,Public,General Arts,Boarding,JHS,Sometimes difficult,28,40,38,9-10 out of 10,No,5,2,Never,Mostly belong,5,5,3,4,3,3,4,4,0-2 hrs/wk,Rarely/Never,None,Rarely,A classmate,Sometimes informal,Fairly confident,Somewhat interested,1
SCH-BPRESEC_1ARTS1_016,016,SCH-BPRESEC,1ARTS1,1,Female,18,Form 1,Public,General Arts,Boarding,Tertiary,Very difficult,38,42,46.2,9-10 out of 10,No,5,0,Never,Mostly belong,5,5,5,5,5,5,5,5,3-5 hrs/wk,Sometimes,Heavy housework,About once/wk,A classmate,Sometimes informal,Not sure,Not very,1
SCH-BPRESEC_1ARTS1_017,017,SCH-BPRESEC,1ARTS1,1,Female,17,Form 1,Public,General Arts,Day,Tertiary,Usually not a problem,38,43,43,6-8 out of 10,No,4,12,Sometimes,Not sure,4,4,5,5,4,4,4,4,6-8 hrs/wk,Always,Heavy housework,Rarely,A classmate,Sometimes informal,Worried,Somewhat interested,1
SCH-BPRESEC_1ARTS_018,018,SCH-BPRESEC,1ARTS,1,Male,17,Form 1,Public,General Arts,Day,Primary,Sometimes difficult,54,62,62,9-10 out of 10,No,5,3,Often,Not sure,5,5,5,5,5,4,4,4,3-5 hrs/wk,Sometimes,Farming/trading,A few times/wk,Manage alone,Sometimes informal,Fairly confident,Somewhat interested,0
SCH-BPRESEC_1ARTS1_019,019,SCH-BPRESEC,1ARTS1,1,Female,16,Form 1,Public,General Arts,Boarding,JHS,Never a problem,40,47,47.3,6-8 out of 10,No,5,2,Never,Mostly not belong,4,4,4,4,4,4,2,2,3-5 hrs/wk,Rarely/Never,None,About once/wk,A classmate,Regular group,Fairly confident,Somewhat interested,1
SCH-BPRESEC_1ARTS1_020,020,SCH-BPRESEC,1ARTS1,1,Female,15,Form 1,Public,General Arts,Day,SHS,Usually not a problem,63,72,74,9-10 out of 10,No,5,7,Sometimes,Mostly not belong,5,5,5,5,4,4,3,5,6-8 hrs/wk,Always,None,Almost every day,A classmate,Regular group,Fairly confident,Very interested,0
SCH-BPRESEC_1ARTS_021,021,SCH-BPRESEC,1ARTS,1,Female,16,Form 1,Public,General Arts,Boarding,SHS,Usually not a problem,57,50,58,6-8 out of 10,No,5,1,Never,Mostly not belong,4,5,5,5,5,4,5,4,6-8 hrs/wk,Sometimes,None,A few times/wk,A classmate,Sometimes informal,Very confident,Very interested,0
SCH-BPRESEC_1ARTS1_022,022,SCH-BPRESEC,1ARTS1,1,Female,16,Form 1,Public,General Arts,Day,SHS,Sometimes difficult,57,62,61,6-8 out of 10,No,5,4,Often,Mostly belong,4,4,5,5,5,5,5,5,0-2 hrs/wk,Sometimes,Heavy housework,About once/wk,A classmate,Sometimes informal,Worried,Not very,0
SCH-BPRESEC_1ARTS1_023,023,SCH-BPRESEC,1ARTS1,1,Female,16,Form 1,Public,General Arts,Boarding,SHS,Usually not a problem,44,47,49,9-10 out of 10,No,5,0,Never,Mostly belong,5,5,4,5,5,5,3,2,3-5 hrs/wk,Rarely/Never,None,A few times/wk,Manage alone,No,Not sure,Somewhat interested,1
SCH-BPRESEC_1ARTS_024,024,SCH-BPRESEC,1ARTS,1,Female,16,Form 1,Public,General Arts,Day,SHS,Usually not a problem,84,72,84.1,9-10 out of 10,No,5,0,Never,Strongly belong,5,4,4,5,5,5,3,4,8+ hrs/wk,Always,Heavy housework,A few times/wk,A classmate,Sometimes informal,Very confident,Very interested,0
SCH-BPRESEC_1ARTS1_025,025,SCH-BPRESEC,1ARTS1,1,Male,16,Form 1,Public,General Arts,Day,SHS,Usually not a problem,42,40,43,6-8 out of 10,No,5,0,Never,Mostly belong,4,5,5,4,4,4,4,4,6-8 hrs/wk,Sometimes,None,About once/wk,A classmate,Sometimes informal,Fairly confident,Somewhat interested,1
SCH-BPRESEC_1ARTS1_026,026,SCH-BPRESEC,1ARTS1,1,Male,18,Form 1,Public,General Arts,Boarding,SHS,Sometimes difficult,70,74,72,9-10 out of 10,No,5,2,Never,Mostly belong,5,5,5,5,5,5,5,5,6-8 hrs/wk,Sometimes,None,A few times/wk,A teacher,Sometimes informal,Very confident,Very interested,0
SCH-BPRESEC_1ARTS_027,027,SCH-BPRESEC,1ARTS,1,Male,16,Form 1,Public,General Arts,Boarding,JHS,Sometimes difficult,88,75,82,9-10 out of 10,No,5,0,Sometimes,Not sure,5,5,5,4,5,5,4,5,8+ hrs/wk,Sometimes,Farming/trading,A few times/wk,A classmate,Sometimes informal,Very confident,Very interested,0
SCH-BPRESEC_1ARTS1_028,028,SCH-BPRESEC,1ARTS1,1,Female,16,Form 1,Public,General Arts,Day,No formal education,Sometimes difficult,44,40,46,6-8 out of 10,No,4,14,Sometimes,Not sure,5,4,4,5,5,5,4,4,6-8 hrs/wk,Rarely/Never,Heavy housework,A few times/wk,A classmate,No,Very confident,Very interested,1
SCH-BPRESEC_1ARTS1_029,029,SCH-BPRESEC,1ARTS1,1,Male,15,Form 1,Public,General Arts,Boarding,SHS,Usually not a problem,28,32,35,9-10 out of 10,No,5,4,Sometimes,Mostly belong,5,5,5,5,4,4,4,4,6-8 hrs/wk,Rarely/Never,Heavy housework,About once/wk,A classmate,No,Fairly confident,Somewhat interested,1
SCH-BPRESEC_1ARTS_030,030,SCH-BPRESEC,1ARTS,1,Female,19,Form 1,Public,General Arts,Boarding,SHS,Usually not a problem,41,46,44,6-8 out of 10,No,5,2,Sometimes,Not sure,5,4,4,5,5,4,3,4,8+ hrs/wk,Rarely/Never,Heavy housework,A few times/wk,A classmate,No,Not sure,Somewhat interested,1
SCH-BPRESEC_1ARTS1_031,031,SCH-BPRESEC,1ARTS1,1,Male,15,Form 1,Public,General Arts,Day,SHS,Never a problem,56,48,53.4,9-10 out of 10,No,5,0,Sometimes,Mostly belong,4,4,4,3,4,5,3,4,8+ hrs/wk,Sometimes,Paid work,A few times/wk,A teacher,No,Fairly confident,Somewhat interested,0
SCH-BPRESEC_1ARTS1_032,032,SCH-BPRESEC,1ARTS1,1,Female,16,Form 1,Public,General Arts,Boarding,SHS,Sometimes difficult,48,47,48,6-8 out of 10,No,5,4,Never,Mostly belong,5,5,5,5,5,5,4,5,6-8 hrs/wk,Sometimes,None,Rarely,A classmate,Sometimes informal,Fairly confident,Not very,0
SCH-BPRESEC_1ARTS_033,033,SCH-BPRESEC,1ARTS,1,Male,17,Form 1,Public,General Arts,Boarding,Tertiary,Usually not a problem,62.4,60,65,6-8 out of 10,No,5,2,Sometimes,Strongly belong,5,5,4,4,4,4,4,4,8+ hrs/wk,Sometimes,Heavy housework,A few times/wk,A teacher,Sometimes informal,Fairly confident,Somewhat interested,0
SCH-BPRESEC_1ARTS1_034,034,SCH-BPRESEC,1ARTS1,1,Female,16,Form 1,Public,General Arts,Day,Tertiary,Sometimes difficult,54,50,56.4,3-5 out of 10,No,5,6,Sometimes,Mostly belong,4,4,4,4,4,4,4,4,3-5 hrs/wk,Always,None,Rarely,A classmate,No,Very confident,Somewhat interested,0
SCH-BPRESEC_1ARTS1_035,035,SCH-BPRESEC,1ARTS1,1,Male,17,Form 1,Public,General Arts,Day,Tertiary,Sometimes difficult,40,43,44,3-5 out of 10,No,5,2,Sometimes,Mostly belong,5,5,5,5,5,5,5,5,0-2 hrs/wk,Sometimes,Heavy housework,About once/wk,A classmate,No,Very confident,Not at all,1
SCH-BPRESEC_1ARTS_036,036,SCH-BPRESEC,1ARTS,1,Male,17,Form 1,Public,General Arts,Boarding,Primary,Usually not a problem,51,51,54.7,9-10 out of 10,No,4,15,Sometimes,Mostly belong,5,4,4,5,5,5,3,5,3-5 hrs/wk,Sometimes,None,A few times/wk,Manage alone,No,Fairly confident,Somewhat interested,0
SCH-BPRESEC_1ARTS1_037,037,SCH-BPRESEC,1ARTS1,1,Male,18,Form 1,Public,General Arts,Boarding,SHS,Sometimes difficult,42,48,49,6-8 out of 10,No,5,0,Never,Mostly belong,5,4,4,5,5,5,4,5,6-8 hrs/wk,Sometimes,None,About once/wk,A classmate,No,Very confident,Very interested,1
SCH-BPRESEC_1ARTS1_038,038,SCH-BPRESEC,1ARTS1,1,Male,18,Form 1,Public,General Arts,Boarding,SHS,Sometimes difficult,45,52,59.4,6-8 out of 10,No,5,2,Sometimes,Not sure,4,4,4,4,4,5,4,4,0-2 hrs/wk,Sometimes,None,A few times/wk,A classmate,No,Fairly confident,Somewhat interested,0
